Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player_Link
1,Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,860,1656,.519,163,435,.375,697,1221,.571,.569,601,669,.898,67,312,379,486,131,77,183,164,2484,0,"MVP-1,DPOY-10,CPOY-8,AS,NBA1",https://www.basketball-reference.com/players/g/gilgesh01.html
2,Anthony Edwards,23,MIN,SG,79,79,2871,721,1612,.447,320,811,.395,401,801,.501,.547,415,496,.837,61,389,450,359,91,51,249,150,2177,0,"MVP-7,CPOY-3,AS,NBA2",https://www.basketball-reference.com/players/e/edwaran01.html
3,Nikola Jokić,29,DEN,C,70,70,2571,786,1364,.576,138,331,.417,648,1033,.627,.627,361,451,.800,200,692,892,716,127,45,230,160,2071,34,"MVP-2,CPOY-2,AS,NBA1",https://www.basketball-reference.com/players/j/jokicni01.html
4,Giannis Antetokounmpo,30,MIL,PF,67,67,2289,793,1319,.601,14,63,.222,779,1256,.620,.607,436,707,.617,147,651,798,433,58,78,206,155,2036,11,"MVP-3,DPOY-8,AS,NBA1",https://www.basketball-reference.com/players/a/antetgi01.html
5,Jayson Tatum,26,BOS,PF,72,72,2624,662,1465,.452,250,728,.343,412,737,.559,.537,358,440,.814,48,575,623,431,76,38,209,157,1932,2,"MVP-4,CPOY-10,AS,NBA1",https://www.basketball-reference.com/players/t/tatumja01.html
6,Devin Booker,28,PHO,SG,75,75,2795,654,1420,.461,183,551,.332,471,869,.542,.525,432,483,.894,76,229,305,529,67,16,220,198,1923,0,,https://www.basketball-reference.com/players/b/bookede01.html
7,Trae Young,26,ATL,PG,76,76,2739,566,1376,.411,218,642,.340,348,734,.474,.491,491,561,.875,36,200,236,880,91,12,355,145,1841,0,"CPOY-4,AS",https://www.basketball-reference.com/players/y/youngtr01.html
8,Tyler Herro,25,MIA,SG,77,77,2725,651,1378,.472,251,670,.375,400,708,.565,.563,287,327,.878,35,364,399,424,69,17,198,85,1840,0,AS,https://www.basketball-reference.com/players/h/herroty01.html
9,Cade Cunningham,23,DET,PG,70,70,2452,684,1457,.469,149,418,.356,535,1039,.515,.521,313,370,.846,56,369,425,638,71,53,309,195,1830,9,"MVP-7,AS,NBA3",https://www.basketball-reference.com/players/c/cunnica01.html
10,James Harden,35,LAC,PG,79,79,2789,531,1295,.410,235,668,.352,296,627,.472,.501,505,578,.874,55,401,456,687,118,55,341,162,1802,3,"MVP-10,AS,NBA3",https://www.basketball-reference.com/players/h/hardeja01.html
11,Karl-Anthony Towns,29,NYK,C,72,72,2517,639,1215,.526,142,338,.420,497,877,.567,.584,339,409,.829,212,708,920,222,71,50,192,249,1759,1,"AS,NBA3",https://www.basketball-reference.com/players/t/townska01.html
12,Zach LaVine,29,2TM,SG,74,74,2602,625,1223,.511,239,536,.446,386,687,.562,.609,235,285,.825,22,293,315,310,58,12,208,121,1724,0,,https://www.basketball-reference.com/players/l/lavinza01.html
12,Zach LaVine,29,CHI,SF,42,42,1432,363,710,.511,136,305,.446,227,405,.560,.607,145,182,.797,12,190,202,189,39,10,121,64,1007,0,,https://www.basketball-reference.com/players/l/lavinza01.html
12,Zach LaVine,29,SAC,SG,32,32,1170,262,513,.511,103,231,.446,159,282,.564,.611,90,103,.874,10,103,113,121,19,2,87,57,717,0,,https://www.basketball-reference.com/players/l/lavinza01.html
13,Jalen Green,22,HOU,SG,82,82,2697,608,1437,.423,234,661,.354,374,776,.482,.505,273,336,.813,45,332,377,282,71,27,203,127,1723,0,,https://www.basketball-reference.com/players/g/greenja05.html
14,Stephen Curry,36,GSW,PG,70,70,2252,564,1258,.448,311,784,.397,253,474,.534,.572,279,299,.933,40,270,310,421,80,30,200,95,1718,0,"MVP-9,CPOY-5,AS,NBA2",https://www.basketball-reference.com/players/c/curryst01.html
