Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1,Stephen Curry,32,GSW,PG,63,63,2152,658,1365,.482,337,801,.421,321,564,.569,.605,362,395,.916,29,316,345,363,77,8,213,119,2015,0,"MVP-3,AS,NBA1"
2,Damian Lillard,30,POR,PG,67,67,2398,602,1334,.451,275,704,.391,327,630,.519,.554,449,484,.928,32,251,283,505,62,17,203,102,1928,0,"MVP-7,AS,NBA2"
3,Nikola Jokić,25,DEN,C,72,72,2488,732,1293,.566,92,237,.388,640,1056,.606,.602,342,394,.868,205,575,780,599,95,48,222,192,1898,16,"MVP-1,AS,NBA1"
4,Bradley Beal,27,WAS,SG,60,60,2147,670,1382,.485,130,373,.349,540,1009,.535,.532,408,459,.889,72,211,283,265,69,22,187,140,1878,0,"AS,NBA3"
5,Luka Dončić,21,DAL,PG,66,66,2262,647,1351,.479,192,548,.350,455,803,.567,.550,344,471,.730,54,473,527,567,64,36,281,152,1830,11,"MVP-6,AS,NBA1"
6,Giannis Antetokounmpo,26,MIL,PF,61,61,2013,626,1100,.569,67,221,.303,559,879,.636,.600,398,581,.685,97,574,671,357,72,73,207,168,1717,7,"MVP-4,DPOY-5,AS,NBA1,DEF1"
7,Devin Booker,24,PHO,SG,67,67,2270,623,1287,.484,126,371,.340,497,916,.543,.533,340,392,.867,34,247,281,289,53,16,207,181,1712,0,AS
8,Julius Randle,26,NYK,PF,71,71,2667,602,1321,.456,160,389,.411,442,932,.474,.516,348,429,.811,84,639,723,427,64,18,241,225,1712,6,"MVP-8,MIP-1,AS,NBA2"
9,Jayson Tatum,22,BOS,SF,64,64,2290,605,1318,.459,187,485,.386,418,833,.502,.530,295,340,.868,50,422,472,276,75,31,171,122,1692,1,AS
10,Zion Williamson,20,NOP,PF,61,61,2026,634,1037,.611,10,34,.294,624,1003,.622,.616,369,529,.698,167,274,441,226,57,39,167,135,1647,0,AS
11,Nikola Vučević,30,2TM,C,70,70,2348,666,1396,.477,176,440,.400,490,956,.513,.540,131,156,.840,146,671,817,269,65,48,126,137,1639,2,AS
11,Nikola Vučević,30,ORL,C,44,44,1500,436,908,.480,117,288,.406,319,620,.515,.545,91,110,.827,87,430,517,167,42,28,83,79,1080,1,
11,Nikola Vučević,30,CHI,C,26,26,848,230,488,.471,59,152,.388,171,336,.509,.532,40,46,.870,59,241,300,102,23,20,43,58,559,1,
12,Trae Young,22,ATL,PG,63,63,2125,487,1112,.438,136,397,.343,351,715,.491,.499,484,546,.886,38,207,245,594,53,12,261,111,1594,0,
13,Zach LaVine,25,CHI,SG,58,58,2034,569,1123,.507,200,477,.419,369,646,.571,.596,253,298,.849,36,253,289,282,46,27,203,138,1591,0,AS
14,De'Aaron Fox,23,SAC,PG,58,58,2036,529,1110,.477,103,320,.322,426,790,.539,.523,300,417,.719,33,170,203,417,87,27,174,170,1461,0,
15,Collin Sexton,22,CLE,SG,60,60,2115,525,1105,.475,98,264,.371,427,841,.508,.519,312,383,.815,58,129,187,262,62,10,167,157,1460,0,
16,Joel Embiid,26,PHI,C,51,51,1585,461,899,.513,58,154,.377,403,745,.541,.545,471,548,.859,113,426,539,145,50,69,159,123,1451,0,"MVP-2,DPOY-7,AS,NBA2,DEF2"
17,Kyrie Irving,28,BRK,PG,54,54,1886,549,1086,.506,152,378,.402,397,708,.561,.576,201,218,.922,52,205,257,324,76,37,130,140,1451,0,"AS,NBA3"
18,Brandon Ingram,23,NOP,SF,61,61,2093,513,1101,.466,143,375,.381,370,726,.510,.531,281,320,.878,34,265,299,296,42,36,154,124,1450,0,
