Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
39,RJ Barrett,22,NYK,SG,73,73,2475,510,1176,.434,121,390,.310,389,786,.495,.485,290,392,.740,60,308,368,201,31,15,164,179,1431,0,
40,Keldon Johnson,23,SAS,SF,63,63,2063,503,1113,.452,134,407,.329,369,706,.523,.512,245,327,.749,56,262,318,183,46,11,134,125,1385,0,
41,Spencer Dinwiddie,29,2TM,SG,79,79,2725,460,1050,.438,181,490,.369,279,560,.498,.524,268,330,.812,28,242,270,515,67,24,145,187,1369,0,
41,Spencer Dinwiddie,29,DAL,SG,53,53,1808,316,694,.455,138,341,.405,178,353,.504,.555,170,207,.821,19,144,163,279,39,16,90,124,940,0,
41,Spencer Dinwiddie,29,BRK,PG,26,26,917,144,356,.404,43,149,.289,101,207,.488,.465,98,123,.797,9,98,107,236,28,8,55,63,429,0,
42,Kevin Durant,34,2TM,PF,47,47,1672,483,862,.560,93,230,.404,390,632,.617,.614,307,334,.919,17,296,313,235,34,67,156,99,1366,1,AS
42,Kevin Durant,34,BRK,PF,39,39,1403,410,734,.559,71,189,.376,339,545,.622,.607,267,286,.934,14,248,262,207,32,57,136,92,1158,1,
42,Kevin Durant,34,PHO,PF,8,8,269,73,128,.570,22,41,.537,51,87,.586,.656,40,48,.833,3,48,51,28,2,10,20,7,208,0,
43,Kyle Kuzma,27,WAS,PF,64,64,2239,512,1142,.448,160,481,.333,352,661,.533,.518,173,237,.730,55,408,463,239,36,29,190,145,1357,1,
44,Tyler Herro,23,MIA,SG,67,67,2337,487,1109,.439,203,537,.378,284,572,.497,.531,170,182,.934,27,333,360,280,51,16,158,101,1347,1,
45,Buddy Hield,30,IND,SF,80,73,2482,475,1038,.458,288,677,.425,187,361,.518,.596,106,129,.822,67,333,400,225,92,26,139,156,1344,0,
46,Fred VanVleet,28,TOR,PG,69,69,2535,437,1112,.393,207,606,.342,230,506,.455,.486,254,283,.898,30,250,280,495,123,38,140,193,1335,1,
47,Paul George,32,LAC,SF,56,56,1939,459,1004,.457,158,426,.371,301,578,.521,.536,256,294,.871,45,297,342,288,83,20,176,159,1332,1,AS
48,Terry Rozier,28,CHO,SG,63,63,2221,493,1188,.415,165,505,.327,328,683,.480,.484,178,220,.809,51,208,259,319,74,16,134,119,1329,0,
49,Anfernee Simons,23,POR,SG,62,62,2171,467,1045,.447,212,562,.377,255,483,.528,.548,160,179,.894,18,143,161,253,42,14,128,142,1306,0,
50,Bennedict Mathurin,20,IND,SG,78,17,2222,413,951,.434,100,310,.323,313,641,.488,.487,376,454,.828,87,231,318,116,48,13,152,162,1302,0,"ROY-4,6MOY-8"
