Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
41,Jamal Murray,21,DEN,PG,75,74,2447,513,1173,.437,152,414,.367,361,759,.476,.502,189,223,.848,65,252,317,363,67,27,158,153,1367,0,
42,Jordan Clarkson,26,CLE,SG,81,0,2214,529,1180,.448,144,445,.324,385,735,.524,.509,162,192,.844,82,188,270,196,57,13,135,112,1364,0,
43,Montrezl Harrell,25,LAC,C,82,5,2158,546,888,.615,3,17,.176,543,871,.623,.617,266,414,.643,184,351,535,162,71,110,132,255,1361,0,6MOY-3
44,Pascal Siakam,24,TOR,PF,80,79,2548,519,945,.549,79,214,.369,440,731,.602,.591,237,302,.785,124,425,549,248,73,52,154,241,1354,0,MIP-1
45,Danilo Gallinari,30,LAC,SF,68,68,2059,409,884,.463,161,372,.433,248,512,.484,.554,367,406,.904,54,363,417,178,49,23,99,129,1346,0,
46,Ben Simmons,22,PHI,PG,79,79,2700,540,960,.563,0,6,.000,540,954,.566,.563,257,428,.600,172,525,697,610,112,61,274,209,1337,10,AS
47,Andrew Wiggins,23,MIN,SF,73,73,2543,498,1209,.412,118,348,.339,380,861,.441,.461,207,296,.699,83,269,352,184,70,48,138,153,1321,0,
48,Kyle Kuzma,23,LAL,PF,70,68,2314,496,1087,.456,128,422,.303,368,665,.553,.515,188,250,.752,60,322,382,178,41,26,133,170,1308,0,
49,Rudy Gobert,26,UTA,C,81,80,2577,476,712,.669,0,0,,476,712,.669,.669,332,522,.636,309,732,1041,161,66,187,130,231,1284,0,"MVP-11,DPOY-1,NBA3,DEF1"
50,Harrison Barnes,26,2TM,PF,77,77,2533,431,1027,.420,174,441,.395,257,586,.439,.504,229,278,.824,57,304,361,115,50,13,98,122,1265,0,
50,Harrison Barnes,26,DAL,PF,49,49,1584,290,717,.404,121,311,.389,169,406,.416,.489,165,198,.833,36,171,207,62,33,11,68,79,866,0,
50,Harrison Barnes,26,SAC,SF,28,28,949,141,310,.455,53,130,.408,88,180,.489,.540,64,80,.800,21,133,154,53,17,2,30,43,399,0,
