full_name,height,season
Darius Garland,185,2023
Franz Wagner,208,2023
Devin Booker,198,2023
Jimmy Butler,201,2023
Anthony Davis,208,2023
Nikola Vučević,208,2023
Paolo Banchero,208,2023
RJ Barrett,198,2023
Keldon Johnson,196,2023
Spencer Dinwiddie,196,2023
Kevin Durant,211,2023
Kyle Kuzma,206,2023
Tyler Herro,196,2023
Buddy Hield,193,2023
Fred VanVleet,183,2023
Paul George,203,2023
Terry Rozier,185,2023
Anfernee Simons,190,2023
Bennedict Mathurin,198,2023
Luka Dončić,198,2024
Shai Gilgeous-Alexander,198,2024
Giannis Antetokounmpo,211,2024
Jalen Brunson,188,2024
Nikola Jokić,211,2024
Anthony Edwards,193,2024
Kevin Durant,211,2024
Jayson Tatum,203,2024
De'Aaron Fox,190,2024
Stephen Curry,188,2024
DeMar DeRozan,198,2024
Anthony Davis,208,2024
Devin Booker,198,2024
LeBron James,206,2024
Tyrese Maxey,188,2024
Paolo Banchero,208,2024
Damian Lillard,188,2024
Dejounte Murray,196,2024
Pascal Siakam,203,2024
Paul George,203,2024
Kawhi Leonard,201,2024
Jaylen Brown,198,2024
Jalen Green,193,2024
Mikal Bridges,198,2024
Zion Williamson,198,2024
Domantas Sabonis,208,2024
Kyle Kuzma,206,2024
Victor Wembanyama,221,2024
Coby White,196,2024
Kyrie Irving,188,2024
Jaren Jackson Jr.,208,2024
Cam Thomas,193,2024
Donovan Mitchell,190,2024
Collin Sexton,190,2024
Miles Bridges,201,2024
Franz Wagner,208,2024
Cade Cunningham,198,2024
Tyrese Haliburton,196,2024
Trae Young,185,2024
Klay Thompson,196,2024
Nikola Vučević,208,2024
D'Angelo Russell,190,2024
Bam Adebayo,206,2024
Chet Holmgren,216,2024
Jordan Poole,193,2024
Michael Porter Jr.,208,2024
Jalen Williams,198,2024
Joel Embiid,213,2024
Karl-Anthony Towns,213,2024
Bogdan Bogdanović,196,2024
