,0,1
0,James Harden,196
1,Paul George,203
2,Kemba Walker,183
3,Bradley Beal,193
4,Damian Lillard,188
5,Kevin Durant,211
6,Giannis Antetokounmpo,211
7,Stephen Curry,188
8,Karl-Anthony Towns,213
9,Blake Griffin,206
10,Donovan Mitchell,190
11,Joel Embiid,213
12,LaMarcus Aldridge,211
13,D'Angelo Russell,190
14,Devin Booker,198
15,Buddy Hield,193
16,Klay Thompson,196
17,Russell Westbrook,193
18,Nikola Vučević,208
19,Tobias Harris,203
20,DeMar DeRozan,198
21,Nikola Jokić,211
22,Kyrie Irving,188
23,Kawhi Leonard,201
24,Julius Randle,206
25,Trae Young,185
26,Luka Dončić,198
27,LeBron James,206
28,Lou Williams,188
29,Zach LaVine,196
30,Mike Conley,183
31,CJ McCollum,190
32,Bojan Bogdanović,201
33,Anthony Davis,208
34,Jrue Holiday,193
35,Khris Middleton,201
36,De'Aaron Fox,190
37,JJ Redick,190
38,Collin Sexton,190
39,Andre Drummond,211
40,Jamal Murray,193
41,Jordan Clarkson,190
42,Montrezl Harrell,201
43,Pascal Siakam,203
44,Danilo Gallinari,208
45,Ben Simmons,208
46,Andrew Wiggins,201
47,Kyle Kuzma,206
48,Rudy Gobert,216
49,Harrison Barnes,203
50,Jayson Tatum,203
51,Brandon Ingram,203
52,Shai Gilgeous-Alexander,198
53,T.J. Warren,203
54,Spencer Dinwiddie,196
55,Chris Paul,183
56,Dennis Schröder,185
57,Evan Fournier,198
58,Ja Morant,188
59,Dillon Brooks,198
60,Kristaps Porziņģis,218
61,Jaylen Brown,198
62,Jimmy Butler,201
63,Domantas Sabonis,208
64,Bam Adebayo,206
65,Devonte' Graham,185
66,Terry Rozier,185
67,Kyle Lowry,183
68,Tim Hardaway Jr.,196
69,Zion Williamson,198
70,Anthony Edwards,193
71,Norman Powell,190
72,RJ Barrett,198
73,Jerami Grant,201
74,Malcolm Brogdon,193
75,Michael Porter Jr.,208
76,John Collins,206
77,Miles Bridges,201
78,LaMelo Ball,201
79,Darius Garland,185
80,Dejounte Murray,196
81,Jordan Poole,193
82,Desmond Bane,196
83,Tyler Herro,196
84,Saddiq Bey,201
85,Fred VanVleet,183
86,Jonas Valančiūnas,211
87,Tyrese Maxey,188
88,Jalen Brunson,188
89,Gary Trent Jr.,196
90,Keldon Johnson,196
91,Jaren Jackson Jr.,208
92,Reggie Jackson,188
93,Lauri Markkanen,213
94,Jalen Green,193
95,Mikal Bridges,198
96,Franz Wagner,208
97,Paolo Banchero,208
98,Anfernee Simons,190
99,Bennedict Mathurin,198
100,Victor Wembanyama,221
101,Coby White,196
102,Cam Thomas,193
103,Cade Cunningham,198
104,Tyrese Haliburton,196
105,Chet Holmgren,216
106,Jalen Williams,198
107,Bogdan Bogdanović,196
